proset,perct,count,prev_pval,prev_adjp,rare_pval,rare_adjp,Xist,Airn,Kcnq1ot1
NXF1_PABPN1,0.401489408,5553,0,0,1,1,1,0,0
HNRNPK_MATRIN3,0.279010918,3859,0,0,1,1,0,0,0
HNRNPK_SPEN,0.338731834,4685,0,0,1,1,0,0,0
HNRNPK_HNRNPM,0.246475309,3409,2.83E-14,9.29E-14,1,1,0,0,0
HNRNPK_PTBP1,0.231508929,3202,0,0,1,1,0,0,0
HNRNPK_XRN2,0.28609645,3957,0,0,1,1,0,0,1
HNRNPK_TIA1,0.339888656,4701,0,0,1,1,0,0,0
HNRNPK_SFPQ,0.224495698,3105,3.26E-09,8.74E-09,0.999999997,1,0,0,0
HNRNPK_RBM15A,0.064348203,890,1,1,0,0,0,0,0
HNRNPK_SAFB,0.217337864,3006,9.20E-05,0.000232413,0.999915328,1,0,0,0
HNRNPK_YTHDC1,0.080037597,1107,1,1,0,0,0,0,0
HNRNPK_SRSF1,0.078446967,1085,1,1,0,0,0,0,0
HNRNPK_NUDT21,0.103246331,1428,1,1,0,0,0,0,0
HNRNPK_KHDRBS1,0.086472417,1196,1,1,0,0,0,0,0
HNRNPK_HNRNPU,0.515219435,7126,0,0,1,1,0,1,1
HNRNPK_HNRNPL,0.407056612,5630,0,0,1,1,1,1,1
HNRNPK_HNRNPC,0.214879618,2972,0.001231927,0.003066712,0.998850907,1,0,0,0
HNRNPK_CIZ1,0.066734148,923,1,1,6.42E-15,1.40E-14,0,0,0
HNRNPK_PABPN1,0.108958138,1507,1,1,0,0,0,1,0
MATRIN3_SPEN,0.196008965,2711,0.993921496,1,0.006457523,0.011929424,0,0,1
MATRIN3_HNRNPM,0.288988504,3997,0,0,1,1,0,0,1
MATRIN3_PTBP1,0.315378498,4362,0,0,1,1,0,0,0
MATRIN3_XRN2,0.127901092,1769,1,1,0,0,0,0,0
MATRIN3_TIA1,0.157833851,2183,1,1,0,0,0,0,1
MATRIN3_SFPQ,0.139397007,1928,1,1,0,0,1,0,1
MATRIN3_RBM15A,0.034126238,472,1,1,0,0,0,0,0
MATRIN3_SAFB,0.101655701,1406,1,1,0,0,0,0,0
MATRIN3_YTHDC1,0.042151688,583,1,1,0,0,0,0,0
MATRIN3_SRSF1,0.0428024,592,1,1,0,0,0,0,0
MATRIN3_NUDT21,0.04865881,673,1,1,0,0,0,0,0
MATRIN3_KHDRBS1,0.058636397,811,1,1,0,0,0,0,0
MATRIN3_HNRNPU,0.196948883,2724,0.98708805,1,0.013642204,0.025070229,0,0,0
MATRIN3_HNRNPL,0.183573133,2539,1,1,2.73E-10,5.36E-10,0,0,0
MATRIN3_HNRNPC,0.144819608,2003,1,1,0,0,0,0,0
MATRIN3_CIZ1,0.055382836,766,1,1,0,0,0,0,0
MATRIN3_PABPN1,0.046345167,641,1,1,0,0,0,0,0
SPEN_HNRNPM,0.349649338,4836,1.11E-15,4.48E-15,1,1,0,1,1
SPEN_PTBP1,0.18393464,2544,1,1,5.43E-10,1.06E-09,0,0,0
SPEN_XRN2,0.39519919,5466,0,0,1,1,0,1,0
SPEN_TIA1,0.509001518,7040,0,0,1,1,0,1,1
SPEN_SFPQ,0.491070783,6792,0,0,1,1,0,1,1
SPEN_RBM15A,0.141566047,1958,1,1,0,0,1,0,0
SPEN_SAFB,0.261007881,3610,3.55E-14,1.12E-13,1,1,1,0,0
SPEN_YTHDC1,0.165570096,2290,1,1,0,0,1,0,0
SPEN_SRSF1,0.187622009,2595,0.999999727,1,3.06E-07,5.83E-07,1,0,0
SPEN_NUDT21,0.212132167,2934,0.012892126,0.031424558,0.987790936,1,1,0,0
